key,data1,data2
40,11,MccGNMomdVDcqjCi6khGKL8eSvqlImGpZvu7y1x7pJHmdvsTy2AFqXoJeEOa4WiboQTFNcnv2EL6hbj2afgRubM4N8DcvOI02De8TVdjt04LOclFlCWWO6LB63AD33TvRvxJwENtBRzRdqFuC0EbyBhOZxXFy0WlGYTWsMUe9OYDcrMQkNAg2YDwFrlZFC4UakU6WP4yM81vLd9TU7bK3lq8Kd5iDqXckYE2fi4jlWFnERAsKYgExzFH7iYAkoDb4VTijOCi5Hz3rdECCz5F14UrNvztJn1u3By6lkqVmyOQP1nWNVccZMg3pWvZl5e0LTmuFuyNevdI0VI6qGmNLiDWOyelAqqf635iUubn8mfeqvp6iSUAGVS4X4VSwuQylRIQrAq2XQZ9jMRgJJwAakIpv8NlstcxLL2X7sFh5DXnY1mVh77j462tP3qS1aEVgXVPEJ5oIew6T9sxhp6RfGl7OEDn43VhNy49KQoa5eiK1JojTGHEsz13iA84nSfDjx7xWG4x1FXEN8WXEsSppqu6gL6Vrify7WTpOj2Bq5JpfFxPscyXwERZYJWcL8zH5BS3F088ZqNEVIitQL8Ae748ZBU3Ld5qPEaBoE651DiW0bRfcI3YLGb92EQYHbk8FmMVLfc1uhVMQoVZ5mO2qeykYr01GBY4aefsphGuEIcn7beoeIrOX1XqufXrO6rMW2JMeFnh2qCmDGCwrxoc8oW7ry5735YMtKHN2ddByv8RwMufIa553ZuijKJxSFSxuPTFSYicWyYHTj6SsXTAeSo1pdpalj5Es2w61oYqKxB0qJsqlr7E2PVUG8Zhhxu4cq6jfKCTM8XCVxWpXVQFLmZ4GCI6ZCTgc4snBHk2s1gdkgd7pPDhuVZ07nXVYisFgYP2Nm9XrPpXmbRqU1NxoiXNvkwLJiqFPfMJ6PxKquWWQRnM2XknYFZtpAakhvjy1iEBzj8p3wn9EdkevwgiDCoQy469dnCgQeBR0RZ2
80,178,wgu3nHu9hr0XGUdgXCEmDAMXhIjNb0uxeTYsXxS6AnZuWO6Vi61VxISPs0loGgDXUJZSSW3LhLYI2aNWiJyX7IEbwks36NzkumxKJ4DBAaRSxp9PnOaesYNk9OzlPSY8UsvwNoRmARH1yirlHsAGEDNt5I27tRbsFn1mA7dGtDd2azhs2Zn5ZAXYrwFUIAJ6OWIqq20LYWWaHOJfIXXOIlTgc0R0mYwDuKeiS0aLJOItGCLVDvc00J1dfDtlDUzRwRvhxoUf3A9stjH7XD4LB0TtKjpAde8zyLDF4RQmib7ffKPNh7WL82jh5J6l6pz7vUHn9Sk3wvfmI88PTQg3Sw6u0MDm7YNVvdAcvuuxm7Jocy4bmbKYESNVkkmYAxzMFsVYJ0YF6S8pMDDqrHIlkL7z1RyxBPmtysOTyPizTfEGMagtOAfEGqzv2vsHdUfYCuO4YjwOnQelYCYMp1w8HUtnwhgZLhwsFONEPGfNrdoOtwlZnOj4cp1ISYous01z6AhRUJKTwAabotKhNkcCIKmGh52ykYQJD8aMG3U4WJaouhgsPpnhr3AiOtr0s308u40UEH6o90Mr1gAj8eDnQpCl8qyeWrUqh7V5AAkr49bSDdxdwdLoJAhTW0N4wuBEpbEDMeZtXmdTmXKQ0ORIg1SGGCQ8K6yKLE0GeDSrd2dw9zTJnk9tmAuWPCkv3o2P6eSkIUbCKi2pIWMpGG6qLVimrLecyIMLvaF1mfmMFSDOfauoroDbYKMzB0rUPbg0ljhMwu6N8BnNQ5hIlOZN7zw4sKdWi7RIEaV7XswzyFw8ecNbljAuwyO8oX6QqnSzUSlo85Nq5Y58ovIw7rDdg6Mma1MplPGONPKbTt1pFqHSvSgkLwONqmCoCnOW2aQeU757q9Avo6w5zt60mdB1i7SLbLX9HaEGz9Phib557vix7UJ9HhLk9am4t49GkgXWDUMcywgB2N0ZOxU7KEsF2zYhtkkXtFM2SDsFI104
19,261,ULsyAaATseNMgIC7UDN6PzlvGRd9Nu6lBVTlMpXRwizMDFFXwbbb9JyrWDEokNIMFyBcjGvG3LZ9ffYvwcdAiWKhXUrDFMWrz1nh7SpeBcBALEYdLh7mBquAjQXaBgtvjd7D9iSRHCXQgeK2gnvnOpCrf3qw6isQbsIgE8hMGaTJdGICYejU0OJbgo0fwWAboltjRhc2v1awfYsfzShUJZ8Si5AdO42Qal5I2K9xWyOmEKHVGdmdk8p30Wfb5EoekCOAHMjEaR5CApBOEOOtKFbOetjcvWb1FERgFl2Li0QJQA2xXF6cqrtAf6eIoURzIfTSiiUjfGgIeLcpa1pLBVX9dF16ue5FEH2t0NwhVdkBGyA9y3RRFLFy72WOUtXpdaHaiSEtdKfE0yg8QfyAbINAeEORXG5s0fmYmD4ZjwHjHpbj2PFPeBWFzso31yoa6AgU592JKSZLTFDGMNuug9UHz0ddM9cZTZnTAKsbqUYhdSYafF2FwIV65yHDFh4erYRc10aMlUI1wPXoYKi2ggCpxHnd8GX6tvYHqlHnY27kbbA6NU20ydh6YeCX7f86p8s1V9wCMPrroYaYDzK8dlph21LVngCeaROZZ8uEcPh3ks8NAxNzZIAQI3jZTIY9NmOfJ8J0Qc59OeKbw7l25HhV3jXCfj25z4v4vgwDopIfF33OgTkW0Kw2ct2O4s2tyMODUEaxAOc6G0ryYvAiqluCbvYk5ht9anbXp7Eq3MYnqAhqCp8koa0UVUioStSg5hv7lX3NAyv1FriHqR372C5wxTDeSemGz4jc3ofOKPA4SKjlYIyCF7qhy3pAFNGScqkALmksmC5dPajdVUqg3kHXmknNh74HnLaxWbw7sbrdfiDW72sKjROViAEjg7FTnNYFDn24o0MoFZrGMYCxhoQh170q5qYLkbk1mJvMuZevoHZSyGBbtZWefvvb9qFggrI7T2RH6iZyFQvSY0txw5T82A09yD4fpKJP6vVG
26,309,tRECHYJJOWlOrtjSV0z0yupBAKJRULvYoKs03EoTYpJrq04Uczvvpz8qK46ynlH95FatiMjvofijRbRLBTdHAuyLvnr9GL3XjbSZY3IqdhKZt7qwXPWYlyPmIPfCngXD8QwX9A5L2Ki6u4BAaB5kNrBoqlXv0Gc301cdXlQMwPHAyCO1xHcqTSfxHagnXyqCc310I2f9HFzohbKaas4811S1fkrABKu0TK3h6eOWlgccgOsALjbWtvXCCW5Mez3TCwGo4rvWrwbD6dhanXrhSjtv2BvqZuzWlXyp1znaIjtMcCwU2yyzwN9mF4La3v64Nhc8YdBfwp18WQBK2Gv8nvPDGrF9va2hKqrP8pxTiOWdMNkN5NIeSDzqTKJeI3GEHX1J1MJQOKTf1GuONp80AIbg0WUwFaqjsSIaCwcRJsUdHr2ZaHYwPegHa47Qc7K9ZMGSc9WloCmOI2252pJvM4Ppqa9B4OS4JzwcUOufWlhP1reNw5Vux6x0E6yvIEb2NhewbJqXldfOIIfc8qR0Nx87QwHv2Vc5GCgJje5Xvhfc3Z3iFc8gMRUkUUBDc4qAFdius8cO3A6t3BKsuYb5Kx1DdWb8gF9yYojWxO9YzVPuMa64LI8FEGfOVD9bKmohoqkdZmC3RzymYAq74Q2LA9F0UknJ8gOTC4KfYIJ5K59IYPT94fRRDVq1RHwOpdOkfOV8vA5u1DkWpiIxfQRJ9ryv62FI6czlvSMzv9gzCXqohsWoRwhTcEMAG07vwyvXEFqGJQnmV0p51pheVQxQ9SsjzHzBGgZbfd2RXwpbkBDKqO1z7reJVrXaSIkEoJP39nHMwy8DRF8ikpRg9oxEZIqGwQDwor1KB7VuEVZ84gww1Sm7MmtONY5j0g0CDei5uahC92JduzfFxC87eGXcCJ01eLqrMTvZcWbFLmFmKyUgznRunC3Lio0tzX9AdCL1zTUVGFEqAQlXmyHVLgjQf2v5HBGRihTEijrGxEW0
72,313,W3UdO8kc7smrNundUCGxFsDLcCUnKtEKB8OQZU4pM9rjwhm4geq95g9PHThFJujEeJrN6o6lu6Ngg7AvMwedhnUrYYaqifBXSKa4GTyXIbTYGK5GpcHV4se2uNPZTXH4YzNoXdbAs2LvYi7OwhvOJqc30AxiCE9lj2agAes4suKEBKU1VJiryfDVzsOVj0ZfRSDtRmBZSS5r0nO7Ly5xTo5n6Fxeo3VixeCHvOxzWI6dHlsQHNgOKGeRD8u6hfTrLTA2QuOuklMt52fsZwn2lWCMMHXiG8cgI6PASM49y2CzvxhbagLD4dECuj79PIjVCsJ9N4DQdJJCypqRRsawlPO0tTgnk5CABGzdHWADgFyJodA8OrNAfk2AttkxmolOeKqCrtOOAkh4IDZUBvQgSkp1ezktbeaudr0DLxlmAfrWXZ0uoulfbB7eWQIsEmUBUEgzvWEJuxcGnS4sxKzjsAODLNqq9E91rokXrW7eao3LTGOCP8514q9NZR1pnp2mnpaykZW1l3TTzv61V6gzSg8rcCKKH0GDjW23v2zsswnwhbMrSGvz5WfMhAD0zUsQAC1cBTPm0U2bLpbH0eu8LzROf756YlW5zCcGnzAYMlY96kMefnrAOWvnejrPNEKItQc45hf8UsElH1cesm5l3JPDwfui5QFy8eXe9jcIwqtUEnGbEySQbCCcPta5T7vdqvzwdst7AR6AFmsBhoKzqU5WGV3RMWUC8kDmLjuo7jhhraMWxLN5mvuFjBsVUctl37yD5nSoT166gM8JgOdRUB9AG90ibB6CkdbEl3V8kO7XLaqCad8TevQIoDswQCTHCCFZVgRmXGTQ4ydKOQ2YSr2zbZfICdDm8DZCWG2KPoETHffP7AMLwUMpW9PaNzp8wrnK3AzDv03wdWGqnNxPytWZ1PVDoS3kV2aGio5CLShdqNRrijNwGRodFADoy9gkGVqI06948Ghmm7j8LSSdYBJhA6lYqwkKJ704jR9n
35,459,DjhT0p4Cfk5xI4o7nS5asbKhuoO475tqnUMunnFrv9uJB3yMZv2Wdqa9314HYZ12CaOt0QQI3yHCrrKVSSdTl4hb6WjvlKBmzneVqlBvHXFxEBA62NBVO9NtUHnu6iZBgYKgpbMoBDi03r5d899tQSl5j5pfcyrz42kA84ZQlejWvZjBapIYGk6cdj23ApgIa5lPTbAMF9W5tvj5tNcOx957J2Fdp9p5D4ZXuoLrilRLxvCAZuwtwAAAFdQcNyd4fFJBkUbTQuOv1THVRUjEf2b0hcXTuGy8eeAuGl9nTy9XoN1ypItrWwRJuysV5U3k7GvemjcLx6j8jyeGRp5OyIhJmh5woeW9vhYDDJzU4xSiBysrZwjOSrlruItGI92h9J1ruO1y7j117lp8MmJSEmt3WRVMAI99mhHFwnZiRmpvZwHZ0KgbZQfS2DGQsugkem7ShLV4IE8zMbn6ANt5Zw9BbY4Ngd554zSPuzRHSne3xlapm8h1O9ql66PEV0R3XrlLa0KN66x34ZiZezBiDrELVajPpaPDSWzivZgMZ5WZVoKZrLHcYtAQmjXRyxifhRcEzf081Nu80mHPd45Ld4FGNXpHKwwCzMtgMqQByJ7NdlJQVf5SPra7WcrbdMWIHwei1ns0kyrTUzqnkYXeARGNQoPBQi3fwYRKHwmZ1VN9kuTj4rNKypXBS5fgZxAc8YyXLWD0PiKxdi6Qcv72B4bdijCewcijXeHAExae2RuTmOQJk5OyRVIVxJW2k048a1ZXLRTRPaqXwSO7FtmvAxOv5Eblioplubhj7Fjm3AbL47rH6cWxiUjs0m56snvM5an13wSIccZdYafgdlRQblVdS4LwPUcCR2MMvACXZaSBhNfl4uuax5XSpy9l3ROPMAGedHp2mEaBP91XLSHPq6sCmQoCXjxX4ZlqOUsLPnrZZWVCQM0DfmoXvISM3wjWqlQ042kIvRviegSej1bD3IKMyeQx7GRsAf19Kxk1
3,558,RcsmLVxDbSTJC2voSEkGjflQP1ldzuSXtt8lL1AG5FUND0YmqWvGfKUWUdw38VYPvU54yZfUzvWYMPkEj0AVl8kPIN1kHYvGuKyNUbm4YDyA3GZJMz79p4EhX9ILxQqiz9NEu0qocTiHmhb79oPhmVeG106mBjv6zKuia1PncNIcXsej6hOnwNutPvQA8ioNxIY64PBdOjMmZI3x2VQFsdxLONqtgvtmXSQ488XrMmCuGD24b6zIsPDI3FrZHrLBfm99CycYQL0VtJlMkiIeQdCjDOGeAf4DgjqLK2sLkbw9v7ii6nZchnR4UPihCqoEHjrS1YCu54KliKBxdRaWu2pRPuE839jjdXgQxbXO7bu6ljCs8iDh0gLxyLE9ZnMAt72iJ6M9wcf8pWHQzFbotamqdA1osI8qemalgeFDzstW0kMJVsgoxAuNM4gMOYgaeDSvv1V5yfaI8sz6fE0dYy6wX3XEzLDH7IpbgQS0JoEqbnAmi1gDLqHp4WHJRQnR5PSnqqsb8kIeQ87yJvwoLU9I2j2hRMgEO39OMtvU2Rh8Kh4z4wX2OBa2jADfhE64ZWejc39gPUkQEUTyz7cWJIwySqwV2tuWnTaWIgaSvE5mVlTdQOsvtP7U1GUqoMJ8l1KyuHkftsOQeVQ7jg74bpzr136EdAB4psZeBm7WsEJsQPamCicnO9onO1kaWOQXJzpPz9iS7iot7LTmUqK5ThJ4JNCDKyxOtCrTPA8sUUaAkgah4yVRj3k5nH8a5jyuBVbFvw1S77TOePhxYLYVdZec5qoWSzVSfmaNomlA8UD6XgCSYccKU2Gfyx3VKZQ9PoUjsaObHuTnSI0mgcFgMASgl88V0z6oXpwAtEcJF6pCw9Wg78ObREXyxUPuoeeWACFItwnGhd0a5q1JWAoM2dKzXmsWRuV95zU58UhKAD63oPm5ozD8ODDYru5AOKHCWxiOb1RnZoY33Qh4Pv9zlW826DRa26spQjVllGPU
48,695,OI9f1rml9fIHOASCKAUJZhTGOCA6K7pyvdrjemUZDwy0nGn4zsZlW0nsANRrqI8pePtGWEWEaHm8uNb1xuYIYiwfhIcZ0aYh9srCvCfn02VOYTXeczHAm4C9Ots165dAf9a5nbGOXeNQniHDrNRfrO5aBd93HGwdQq3yxTgopu2c7RyQbFK3kViagbimsvbG2Yftd7tTxtxUZvKU980LtDAMKy2ZkTuqoyUnb9arW3FtiTxlLl77LrVCkuo7T52vOsNv1CP4RSYKq0CTweqDcsvgBBVswo7Uaq8XenX50tyA9dUEDI2DrlNbufC98Vtz62XheGkPG6FIi8WT7El4ZtUIqzmzFzmMyxtoNjFyJ7QdfQXkLE6s8cieNdoOKj1csLjaYVHYYcL84mexKNHoobkTtVLu2cNvu3wmxCEueCzSz4e66kGQ5WBQlQTlNMgsgtnI1bLC2u7BzRO9CHZZLQK8RXwqacTlwXi666mLjhb12f13UaT2p2GJEnENSWA73EPxl68W8Xbg9ReaAChE4mtnciV4w53Dg3Firmd8aRGEUY8DCGhlPk7QMjXnV7YgE1XWiVEmJlUOmi0yA254mgpJbGGukCrDxtDzG7pZ6qpOhv2Qx5dA2DMtkslezDo3LiD0JFekjOvAePR3CXGjP1iNr4dnjF83jDsDPa3OPQOfE1JkJ8zk5N2c8y1rFfdi3KhTZBLuPBARs2BwFWndgCqwUImkLbPDjntcSzdq3lrnpAMpVKPKTjM6gZOtK2o09WlDcwdtfmLlNTiASPrEgqvyMYOTplcxxInnSyS8PoGvooqOTNFHrJP3tIHujXvPaiJNNHU6N6C9vPEttOEZPWJ6IwjW7Kj8JCfuQcGjiElwHrUjTRIj5XgJKGaxjDQT1CfIGouzY0VYlD6CoFhmnmfqsQrRW0WuxICv6CGqdtLsi7YWizOAjJicoMyNOJGfBjN7zi9IlzXPCE9YEbKkKZTilB5cVhol5pXzZ7yG
2,857,mVXxZXVtpzI3JKGfyHa7MVXZfZxCkDvpw6wVcZa3ptk2cgtLFBt83fbt8VdTj9p5IKe0032cb8gXnHGy7G4piSzf8T9RZHteo02M8GXzsWBsvENIOtNkh8Xx7X9uOJcAqtLpfFyoMgb1cGfIfAnBfsHI64HDb8JBaOxpwaaAjsI2mcC41GfbDO6qVqrPewcOqlYD8zj6vx5aGaf12OVQO3RuVj5VohRy7S7ldgfT23WU1LkzXPMxKMtdvxJ6hcMkCxivXQ059Z06RyHjTZjgv0bhC5EAmcVDvCMGBZIo0HqHUIsK405UgAD2YZbVUtJYyqyi4W97iMgDLsTmdZpPl2gPtnDkxVOjk0WBz3G2or2SbgyV5RoOstTNMUmzJ0C4TLC0DQRIWjg88IVwxBdSyRHG7xknrzMRfjsMju7clO8Pq1oKpQhJhs1Gijn7Gwn1f6JPBK3Lc6UiLk7W0dHwWImOZeQIbwKIfKnU4FuCsD5VoPiTAUxRUD7G55G5yue3oQ2g9sbAjijWqTucFSNuj2poclzurCJzYGPtx8pYDj2opqiTqw8pLFQwQtxlkBxZpjn5QuyzXxsuXv8asufsUBTEP0ET7XniaNB8ylL20iCR8Nyh9dX5RlaKvJYZdeUokN6p8wcZos5Zf311eNFaSUyP8bNiUkdiGtA4T1g1bUrnwYbo9E3dny5U7JzzBKgcjuG754UJeBRnE7tXW0eAvQheidjw0ejEfxYphzl7qBsuIekZjyMCv5aidmLk0Djiqq33Nph3FT8Vr1xDZkIcETCcQ4PInm3RIwgmfpcatE1YlLziDSemxUYi7EWyWpGxSWsT0zSbRSutX6pjiKwWxqvjVXwNxDe9Tx0rfMKG2qWgvMrq3UdCYuvHkvtrP5e51ty1ArPnITb21CFmkkagGUt7sGVVZnaSy7Mzj0EDI2zYkgKOX2RlUGDgoveYItoN7s2SsvgzBinfIjCexQu9BJocLG5rBtyfihWyqBBj
53,940,XsooTHMl6Yq4BJ0jFtHVXHlZLHa11Q1ruDhBGO1lfuhZYM50t6j095RUvkhh8drFLWQcORnnZc65BEyIfakf5savOnhkYh5pqquX890Ie6oJB671RHV4RLZk9F0I2CumZuIZm6BB9XCrmtlPre5V16Zdx82hHdCLlgV9KgK7AqPWtVSIVlukdprlBKsRhwEJnax2vGBcjc1bJPPzSwSlfrSR1OnWnuEFBPVgucduievBphtpzoDyXNZ60lFUNaiEcfdNDeqd4bELF6u05T10rDJQt0ys5A5hfXdYmUqaT2cTmriKVI6A1JPOqzLpxMhVNqwUd76DysACi5k9HHViLzVlG3Ew90MEEmbdMVKvD4beVvAdc0qxTXyvR6AxjMOR2w9mnVgS3TH4ybsuvKZEBkUNlWtx5WwYmiHKkeB3zIXCHr6rrV4wGsaIDJfgHqdKoYXCmoME7GOR7p7d3xfJib0vi5u8qyYwcjLUbKC8scFzMXZKaOhESYyKqnxxVSJMDR7u0jC9WSpsLJxaYeVEkmlWqHNjaloj9nMHgDqAUNSQVEWFQmkcbVhPQQzH3m57bMOtBsHa05cuggkGJ3G2uHRHGxJjfrBul5GdXyUr6y8rjLD0u9R1tJVaHZ315jMryPySxYO8lcrPWRcffX2zMpO2gEAu8XHHxUVqkHuSXm6X4FjiEUQXLMmM2RxpizARVVeAQs6UWIVdTur6QvKPcV9pvucOTpPOsPCOFaLtabUAMrTJni8zE3pvDBnnXdTYVf8Ho74KR2G7bXNY0bVxFfjm20NbpBaQ7hN025GUWThLNdhXrJcgu5wumAkHeBZzl4ROsD9jz4dBkU6gY8zO7TQP6JlD15erjkPvs6wRyr9HAQlcdGwfiakxjn1mXjW9zIjA1tdXa8GwpDPktp9jHfqEe6cdfUn2UMAAT1GL5AyKiFH34Yl5A1wMF23LnSfscNujskh8qlcuZTfPz1JFDbZdQICG0e1RTSZ4FxtS
